Biology, "General Biology", "CC BY-NC-SA", "['PDF']"
Biology, "Anatomy and Physiology of Animals", "CC BY-NC-SA", "['PDF']"
Biology, "Basic Cell and Molecular Biology: What We Know & How We Found Out - 4e", "CC BY", "['Online', 'PDF']"
Biology, "Psychology as a Biological Science", "CC BY-NC-SA", "['PDF', 'Online']"
Biology, "Introduction to Human Osteology", "CC BY-NC", "['PDF']"
Biology, "Biology - 2e", "CC BY", "['Online', 'PDF', 'Hardcopy']"
Biology, "Anatomy and Physiology 2e - 2e", "CC BY", "['Online', 'PDF']"
Biology, "Concepts of Biology", "CC BY", "['Online', 'PDF', 'Hardcopy']"
Chemistry, "Case Studies in Systems Chemistry", "CC BY", "['PDF']"
Chemistry, "Organic Chemistry I", "CC BY-NC-SA", "['eBook', 'Online', 'PDF', 'ODF', 'XML']"
Chemistry, "Food Product Development Lab Manual", "CC BY-NC-SA", "['Online', 'eBook', 'PDF']"
Chemistry, "Environmental Toxicology", "CC BY", "['Online', 'PDF', 'eBook']"
Chemistry, "Introductory Chemistry - 1st Canadian Edition", "CC BY-NC-SA", "['PDF', 'eBook', 'Online']"
Chemistry, "Chemical Biology & Biochemistry Laboratory Using Genetic Code Expansion Manual", "CC BY-NC", "['Online', 'PDF', 'eBook']"
Chemistry, "CLUE: Chemistry, Life, the Universe and Everything", "CC BY-NC-SA", "['Online', 'PDF', 'ODF']"
Chemistry, "Bending the Curve: Climate Change Solutions", "CC BY-NC-SA", "['PDF']"
Chemistry, "Des Bases Physiques Et Chimiques Du Contrôle De La Qualité Des Médicaments", "CC BY-SA", "['PDF']"
Chemistry, "Thermodynamics and Chemistry - Second Edition", "CC BY", "['PDF']"
Chemistry, "Chemical Process Dynamics and Controls", "CC BY", "['PDF']"
Chemistry, "Key Elements of Green Chemistry", "CC BY", "['PDF']"
Chemistry, "Analytical Chemistry 2.1", "CC BY-NC-SA", "['PDF']"
Chemistry, "Chemistry of Cooking", "CC BY-NC-SA", "['Online', 'PDF']"
Chemistry, "Organic Chemistry with a Biological Emphasis Volume II", "CC BY-NC-SA", "['PDF']"
Chemistry, "Organic Chemistry with a Biological Emphasis Volume I", "CC BY-NC-SA", "['PDF']"
Chemistry, "Organic Chemistry Laboratory Techniques", "CC BY-NC-ND", "['PDF', 'Online']"
Chemistry, "Concept Development Studies in Chemistry", "CC BY", "['PDF', 'eBook']"
Chemistry, "Chemistry: Atoms First - 2e", "CC BY", "['Online', 'PDF']"
Chemistry, "Chemistry - 2e", "CC BY", "['PDF', 'Online']"
Chemistry, "General Chemistry: Principles, Patterns, and Applications", "CC BY-NC-SA", "['PDF', 'Online']"
Chemistry, "The Basics of General, Organic, and Biological Chemistry", "CC BY-NC-SA", "['PDF', 'Online']"
Chemistry, "Introductory Chemistry", "CC BY-NC-SA", "['PDF', 'Online']"
Geology, "Properties and Behavior of Soil – Online Lab Manual", "CC BY-NC", "['eBook', 'Online', 'XML', 'PDF']"
Geology, "Arcade Expression Crash Course with COVID-19 data", "CC BY", "['Google Doc', 'PDF', 'MS Word']"
Geology, "Geology Online Lab Activities: An Open Educational Resource for Community College Students and Instructors", "CC BY-NC-SA", "['PDF']"
Geology, "The Story of Earth: An Observational Guide", "CC BY-NC-SA", "['eBook', 'Online', 'PDF', 'Hardcopy', 'XML']"
Geology, "Surveying and Mapping", "CC BY-NC-SA", "['PDF', 'Hardcopy']"
Geology, "Digging into Canadian Soils: An Introduction to Soil Science", "CC BY-NC", "['eBook', 'PDF', 'XML', 'Online']"
Geology, "Introduction to Petrology", "CC BY-NC-SA", "['Online', 'PDF', 'XML']"
Geology, "Energy and Human Ambitions on a Finite Planet", "CC BY-NC", "['PDF', 'Online']"
Geology, "Rain or Shine", "CC BY", "['PDF', 'ODF', 'eBook', 'XML', 'Online']"
Geology, "Coastal Dynamics", "CC BY-NC-SA", "['PDF', 'Hardcopy']"
Geology, "Physical Geography - Version 1", "CC BY", "['PDF']"
Geology, "Red Seal Landscape Horticulturist Identify Plants and Plant Requirements", "CC BY", "['Online', 'PDF', 'eBook', 'XML']"
Geology, "Geological Structures: a Practical Introduction", "CC BY-NC", "['Online', 'PDF', 'eBook']"
Geology, "Permaculture Design: Tools for Climate Resilience", "CC BY-NC", "['Online', 'PDF', 'eBook']"
Geology, "Climate Toolkit: A Resource Manual for Science and Action - Version 2.0", "CC BY-NC", "['PDF', 'eBook', 'Online', 'ODF']"
Geology, "Introduction to Climate Science - 1st Edition", "CC BY-NC-SA", "['Online', 'PDF', 'eBook']"
Geology, "Soils Laboratory Manual - K-State Edition", "CC BY", "['PDF']"
Geology, "Physical Geology - First University of Saskatchewan Edition", "CC BY-NC-SA", "['Online', 'PDF', 'XML']"
Geology, "Dredging Engineering: Special Topics", "CC BY-NC-SA", "['PDF']"
Geology, "Introduction to Oceanography", "CC BY", "['Online', 'PDF', 'eBook', 'ODF', 'XML']"
Geology, "Slurry Transport: Fundamentals, A Historical Overview & The Delft Head Loss & Limit Deposit Velocity Framework - 2nd Edition", "CC BY-NC-SA", "['PDF']"
Geology, "The Delft Sand, Clay & Rock Cutting Model", "CC BY-NC-SA", "['PDF']"
Geology, "Advanced Water Mathematics", "CC BY", "['PDF']"
Geology, "American Environmental History", "CC BY-SA", "['Online', 'PDF', 'eBook', 'XML', 'ODF']"
Geology, "Introduction to Environmental Science - 2nd Edition", "CC BY-NC-SA", "['PDF', 'MS Word']"
Geology, "Laboratory Manual for Introductory Geology", "CC BY-SA", "['PDF', 'Hardcopy']"
Geology, "World Regional Geography", "CC BY-NC-SA", "['PDF', 'Online', 'Hardcopy']"
Geology, "Physical Geology", "CC BY", "['PDF', 'eBook']"
Geology, "Living with Earthquakes in the Pacific Northwest", "CC BY-NC-SA", "['PDF', 'Online', 'eBook', 'Hardcopy']"
Geology, "World Regional Geography: People, Places and Globalization", "CC BY-NC-SA", "['Online', 'PDF', 'eBook', 'ODF', 'XML']"
Geology, "Introduction to Physical Oceanography", "CC BY-NC-SA", "['PDF']"
Physics, "Part SM: Statistical Mechanics", "CC BY-NC-SA", "['PDF']"
Physics, "Part QM: Quantum Mechanics", "CC BY-NC-SA", "['PDF']"
Physics, "Part EM: Classical Electrodynamics", "CC BY-NC-SA", "['PDF']"
Physics, "Part CM: Classical Mechanics", "CC BY-NC-SA", "['PDF']"
Physics, "Fizyka dla szkół wyższych Tom 3", "CC BY", "['Online', 'PDF']"
Physics, "Fizyka dla szkół wyższych Tom 2", "CC BY", "['PDF', 'Online']"
